ID_COMPTE,MT_VM,PC_GAR_ECH,MT_GAR_ECH,PC_GAR_DECES,FREQ_RESET_DECES,MAX_RESET_DECES,MT_GAR_DECES,PC_REVENU_FDS,PC_HONORAIRES_GEST,TX_COMM_VENTE,TX_COMM_MAINTIEN,FRAIS_ACQUI,FRAIS_ADMIN,age_deb
237,"$63,222",100%,"$63,222",100%,1,80,"$63,222",2.20%,0.30%,3.00%,0.80%,$900,$100,17
238,"$76,019",100%,"$76,019",100%,1,80,"$76,019",2.20%,0.30%,3.00%,0.80%,$900,$100,82
239,"$1,718",100%,"$1,718",100%,1,80,"$1,718",2.20%,0.30%,3.00%,0.80%,$900,$100,30
240,"$19,243",100%,"$19,243",100%,1,80,"$19,243",2.20%,0.30%,3.00%,0.80%,$900,$100,93
241,"$20,874",100%,"$20,874",100%,1,80,"$20,874",2.20%,0.30%,3.00%,0.80%,$900,$100,36
242,"$84,986",100%,"$84,986",100%,1,80,"$84,986",2.20%,0.30%,3.00%,0.80%,$900,$100,71
243,"$12,705",100%,"$12,705",100%,1,80,"$12,705",2.20%,0.30%,3.00%,0.80%,$900,$100,70
244,"$87,399",100%,"$87,399",100%,1,80,"$87,399",2.20%,0.30%,3.00%,0.80%,$900,$100,16
245,"$43,210",100%,"$43,210",100%,1,80,"$43,210",2.20%,0.30%,3.00%,0.80%,$900,$100,17
246,"$99,798",100%,"$99,798",100%,1,80,"$99,798",2.20%,0.30%,3.00%,0.80%,$900,$100,54
247,"$24,702",100%,"$24,702",100%,1,80,"$24,702",2.20%,0.30%,3.00%,0.80%,$900,$100,20
248,"$21,297",100%,"$21,297",100%,1,80,"$21,297",2.20%,0.30%,3.00%,0.80%,$900,$100,77
249,"$37,829",100%,"$37,829",100%,1,80,"$37,829",2.20%,0.30%,3.00%,0.80%,$900,$100,66
250,"$27,840",100%,"$27,840",100%,1,80,"$27,840",2.20%,0.30%,3.00%,0.80%,$900,$100,46
251,"$40,952",100%,"$40,952",100%,1,80,"$40,952",2.20%,0.30%,3.00%,0.80%,$900,$100,16
252,"$75,114",100%,"$75,114",100%,1,80,"$75,114",2.20%,0.30%,3.00%,0.80%,$900,$100,28
253,"$29,105",100%,"$29,105",100%,1,80,"$29,105",2.20%,0.30%,3.00%,0.80%,$900,$100,51
254,$219,100%,$219,100%,1,80,$219,2.20%,0.30%,3.00%,0.80%,$900,$100,49
255,"$93,030",100%,"$93,030",100%,1,80,"$93,030",2.20%,0.30%,3.00%,0.80%,$900,$100,36
256,"$86,153",100%,"$86,153",100%,1,80,"$86,153",2.20%,0.30%,3.00%,0.80%,$900,$100,85
257,"$16,375",100%,"$16,375",100%,1,80,"$16,375",2.20%,0.30%,3.00%,0.80%,$900,$100,58
258,"$41,933",100%,"$41,933",100%,1,80,"$41,933",2.20%,0.30%,3.00%,0.80%,$900,$100,30
259,"$89,341",100%,"$89,341",100%,1,80,"$89,341",2.20%,0.30%,3.00%,0.80%,$900,$100,18
260,"$75,758",100%,"$75,758",100%,1,80,"$75,758",2.20%,0.30%,3.00%,0.80%,$900,$100,36
261,"$68,147",100%,"$68,147",100%,1,80,"$68,147",2.20%,0.30%,3.00%,0.80%,$900,$100,67
262,"$79,972",100%,"$79,972",100%,1,80,"$79,972",2.20%,0.30%,3.00%,0.80%,$900,$100,76
263,"$40,874",100%,"$40,874",100%,1,80,"$40,874",2.20%,0.30%,3.00%,0.80%,$900,$100,76
264,"$17,329",100%,"$17,329",100%,1,80,"$17,329",2.20%,0.30%,3.00%,0.80%,$900,$100,27
265,"$70,736",100%,"$70,736",100%,1,80,"$70,736",2.20%,0.30%,3.00%,0.80%,$900,$100,52
266,"$40,814",100%,"$40,814",100%,1,80,"$40,814",2.20%,0.30%,3.00%,0.80%,$900,$100,48
267,"$61,794",100%,"$61,794",100%,1,80,"$61,794",2.20%,0.30%,3.00%,0.80%,$900,$100,67
268,"$88,668",100%,"$88,668",100%,1,80,"$88,668",2.20%,0.30%,3.00%,0.80%,$900,$100,20
269,"$16,263",100%,"$16,263",100%,1,80,"$16,263",2.20%,0.30%,3.00%,0.80%,$900,$100,4
270,"$51,072",100%,"$51,072",100%,1,80,"$51,072",2.20%,0.30%,3.00%,0.80%,$900,$100,55
271,"$74,457",100%,"$74,457",100%,1,80,"$74,457",2.20%,0.30%,3.00%,0.80%,$900,$100,74
272,"$90,884",100%,"$90,884",100%,1,80,"$90,884",2.20%,0.30%,3.00%,0.80%,$900,$100,58
273,"$42,827",100%,"$42,827",100%,1,80,"$42,827",2.20%,0.30%,3.00%,0.80%,$900,$100,13
274,"$64,136",100%,"$64,136",100%,1,80,"$64,136",2.20%,0.30%,3.00%,0.80%,$900,$100,41
275,"$75,979",100%,"$75,979",100%,1,80,"$75,979",2.20%,0.30%,3.00%,0.80%,$900,$100,32
276,"$35,228",100%,"$35,228",100%,1,80,"$35,228",2.20%,0.30%,3.00%,0.80%,$900,$100,4
277,"$80,134",100%,"$80,134",100%,1,80,"$80,134",2.20%,0.30%,3.00%,0.80%,$900,$100,99
278,"$30,524",100%,"$30,524",100%,1,80,"$30,524",2.20%,0.30%,3.00%,0.80%,$900,$100,87
279,"$34,198",100%,"$34,198",100%,1,80,"$34,198",2.20%,0.30%,3.00%,0.80%,$900,$100,1
280,"$65,147",100%,"$65,147",100%,1,80,"$65,147",2.20%,0.30%,3.00%,0.80%,$900,$100,0
281,"$77,562",100%,"$77,562",100%,1,80,"$77,562",2.20%,0.30%,3.00%,0.80%,$900,$100,69
282,"$18,342",100%,"$18,342",100%,1,80,"$18,342",2.20%,0.30%,3.00%,0.80%,$900,$100,28
283,"$66,265",100%,"$66,265",100%,1,80,"$66,265",2.20%,0.30%,3.00%,0.80%,$900,$100,86
284,"$19,382",100%,"$19,382",100%,1,80,"$19,382",2.20%,0.30%,3.00%,0.80%,$900,$100,44
285,"$27,049",100%,"$27,049",100%,1,80,"$27,049",2.20%,0.30%,3.00%,0.80%,$900,$100,13
286,"$15,259",100%,"$15,259",100%,1,80,"$15,259",2.20%,0.30%,3.00%,0.80%,$900,$100,29
287,"$5,686",100%,"$5,686",100%,1,80,"$5,686",2.20%,0.30%,3.00%,0.80%,$900,$100,91
288,"$22,415",100%,"$22,415",100%,1,80,"$22,415",2.20%,0.30%,3.00%,0.80%,$900,$100,31
289,"$39,220",100%,"$39,220",100%,1,80,"$39,220",2.20%,0.30%,3.00%,0.80%,$900,$100,31
290,"$77,378",100%,"$77,378",100%,1,80,"$77,378",2.20%,0.30%,3.00%,0.80%,$900,$100,10
291,"$54,475",100%,"$54,475",100%,1,80,"$54,475",2.20%,0.30%,3.00%,0.80%,$900,$100,31
292,"$52,004",100%,"$52,004",100%,1,80,"$52,004",2.20%,0.30%,3.00%,0.80%,$900,$100,6
293,"$64,554",100%,"$64,554",100%,1,80,"$64,554",2.20%,0.30%,3.00%,0.80%,$900,$100,86
294,"$88,911",100%,"$88,911",100%,1,80,"$88,911",2.20%,0.30%,3.00%,0.80%,$900,$100,49
295,"$54,261",100%,"$54,261",100%,1,80,"$54,261",2.20%,0.30%,3.00%,0.80%,$900,$100,98
296,"$42,409",100%,"$42,409",100%,1,80,"$42,409",2.20%,0.30%,3.00%,0.80%,$900,$100,14
297,"$39,660",100%,"$39,660",100%,1,80,"$39,660",2.20%,0.30%,3.00%,0.80%,$900,$100,4
298,"$11,842",100%,"$11,842",100%,1,80,"$11,842",2.20%,0.30%,3.00%,0.80%,$900,$100,56
299,"$76,659",100%,"$76,659",100%,1,80,"$76,659",2.20%,0.30%,3.00%,0.80%,$900,$100,84
300,"$26,547",100%,"$26,547",100%,1,80,"$26,547",2.20%,0.30%,3.00%,0.80%,$900,$100,85
301,"$11,901",75%,"$8,926",100%,99,999,"$11,901",2.00%,0.30%,3.00%,0.80%,$900,$100,89
302,"$92,211",75%,"$69,158",100%,99,999,"$92,211",2.00%,0.30%,3.00%,0.80%,$900,$100,21
303,"$64,780",75%,"$48,585",100%,99,999,"$64,780",2.00%,0.30%,3.00%,0.80%,$900,$100,77
304,"$13,783",75%,"$10,337",100%,99,999,"$13,783",2.00%,0.30%,3.00%,0.80%,$900,$100,56
305,"$19,152",75%,"$14,364",100%,99,999,"$19,152",2.00%,0.30%,3.00%,0.80%,$900,$100,45
306,"$12,800",75%,"$9,600",100%,99,999,"$12,800",2.00%,0.30%,3.00%,0.80%,$900,$100,56
307,"$3,952",75%,"$2,964",100%,99,999,"$3,952",2.00%,0.30%,3.00%,0.80%,$900,$100,84
308,"$28,685",75%,"$21,513",100%,99,999,"$28,685",2.00%,0.30%,3.00%,0.80%,$900,$100,11
309,"$96,104",75%,"$72,078",100%,99,999,"$96,104",2.00%,0.30%,3.00%,0.80%,$900,$100,52
310,"$20,248",75%,"$15,186",100%,99,999,"$20,248",2.00%,0.30%,3.00%,0.80%,$900,$100,21
311,"$69,682",75%,"$52,262",100%,99,999,"$69,682",2.00%,0.30%,3.00%,0.80%,$900,$100,97
312,"$5,939",75%,"$4,454",100%,99,999,"$5,939",2.00%,0.30%,3.00%,0.80%,$900,$100,91
313,"$22,262",75%,"$16,696",100%,99,999,"$22,262",2.00%,0.30%,3.00%,0.80%,$900,$100,39
314,"$46,194",75%,"$34,646",100%,99,999,"$46,194",2.00%,0.30%,3.00%,0.80%,$900,$100,3
315,"$8,998",75%,"$6,748",100%,99,999,"$8,998",2.00%,0.30%,3.00%,0.80%,$900,$100,3
316,"$98,125",75%,"$73,594",100%,99,999,"$98,125",2.00%,0.30%,3.00%,0.80%,$900,$100,94
317,"$77,449",75%,"$58,087",100%,99,999,"$77,449",2.00%,0.30%,3.00%,0.80%,$900,$100,69
318,"$56,109",75%,"$42,081",100%,99,999,"$56,109",2.00%,0.30%,3.00%,0.80%,$900,$100,7
319,"$2,428",75%,"$1,821",100%,99,999,"$2,428",2.00%,0.30%,3.00%,0.80%,$900,$100,27
320,"$52,852",75%,"$39,639",100%,99,999,"$52,852",2.00%,0.30%,3.00%,0.80%,$900,$100,18
321,"$96,879",75%,"$72,660",100%,99,999,"$96,879",2.00%,0.30%,3.00%,0.80%,$900,$100,71
322,"$86,140",75%,"$64,605",100%,99,999,"$86,140",2.00%,0.30%,3.00%,0.80%,$900,$100,0
323,"$10,264",75%,"$7,698",100%,99,999,"$10,264",2.00%,0.30%,3.00%,0.80%,$900,$100,64
324,"$89,741",75%,"$67,306",100%,99,999,"$89,741",2.00%,0.30%,3.00%,0.80%,$900,$100,92
325,"$44,240",75%,"$33,180",100%,99,999,"$44,240",2.00%,0.30%,3.00%,0.80%,$900,$100,55
326,"$77,446",75%,"$58,084",100%,99,999,"$77,446",2.00%,0.30%,3.00%,0.80%,$900,$100,11
327,"$32,406",75%,"$24,304",100%,99,999,"$32,406",2.00%,0.30%,3.00%,0.80%,$900,$100,96
328,"$96,775",75%,"$72,582",100%,99,999,"$96,775",2.00%,0.30%,3.00%,0.80%,$900,$100,8
329,"$78,708",75%,"$59,031",100%,99,999,"$78,708",2.00%,0.30%,3.00%,0.80%,$900,$100,77
330,"$23,566",75%,"$17,675",100%,99,999,"$23,566",2.00%,0.30%,3.00%,0.80%,$900,$100,2
331,"$26,202",75%,"$19,651",100%,99,999,"$26,202",2.00%,0.30%,3.00%,0.80%,$900,$100,91
332,"$20,256",75%,"$15,192",100%,99,999,"$20,256",2.00%,0.30%,3.00%,0.80%,$900,$100,56
333,"$75,233",75%,"$56,425",100%,99,999,"$75,233",2.00%,0.30%,3.00%,0.80%,$900,$100,71
334,"$8,070",75%,"$6,052",100%,99,999,"$8,070",2.00%,0.30%,3.00%,0.80%,$900,$100,75
335,"$69,702",75%,"$52,276",100%,99,999,"$69,702",2.00%,0.30%,3.00%,0.80%,$900,$100,23
336,"$16,232",75%,"$12,174",100%,99,999,"$16,232",2.00%,0.30%,3.00%,0.80%,$900,$100,28
337,"$23,468",75%,"$17,601",100%,99,999,"$23,468",2.00%,0.30%,3.00%,0.80%,$900,$100,60
338,"$94,827",75%,"$71,120",100%,99,999,"$94,827",2.00%,0.30%,3.00%,0.80%,$900,$100,23
339,"$48,994",75%,"$36,746",100%,99,999,"$48,994",2.00%,0.30%,3.00%,0.80%,$900,$100,99
340,"$29,205",75%,"$21,903",100%,99,999,"$29,205",2.00%,0.30%,3.00%,0.80%,$900,$100,13
341,"$24,880",75%,"$18,660",100%,99,999,"$24,880",2.00%,0.30%,3.00%,0.80%,$900,$100,70
342,"$90,443",75%,"$67,832",100%,99,999,"$90,443",2.00%,0.30%,3.00%,0.80%,$900,$100,85
343,"$59,025",75%,"$44,269",100%,99,999,"$59,025",2.00%,0.30%,3.00%,0.80%,$900,$100,12
344,"$80,148",75%,"$60,111",100%,99,999,"$80,148",2.00%,0.30%,3.00%,0.80%,$900,$100,33
345,"$90,669",75%,"$68,002",100%,99,999,"$90,669",2.00%,0.30%,3.00%,0.80%,$900,$100,18
346,"$52,366",75%,"$39,274",100%,99,999,"$52,366",2.00%,0.30%,3.00%,0.80%,$900,$100,35
347,"$89,832",75%,"$67,374",100%,99,999,"$89,832",2.00%,0.30%,3.00%,0.80%,$900,$100,25
348,"$89,157",75%,"$66,867",100%,99,999,"$89,157",2.00%,0.30%,3.00%,0.80%,$900,$100,28
349,"$73,843",75%,"$55,383",100%,99,999,"$73,843",2.00%,0.30%,3.00%,0.80%,$900,$100,79
350,"$20,023",75%,"$15,017",100%,99,999,"$20,023",2.00%,0.30%,3.00%,0.80%,$900,$100,32
351,"$35,866",75%,"$26,899",100%,99,999,"$35,866",2.00%,0.30%,3.00%,0.80%,$900,$100,26
352,"$32,329",75%,"$24,247",100%,99,999,"$32,329",2.00%,0.30%,3.00%,0.80%,$900,$100,55
353,"$12,672",75%,"$9,504",100%,99,999,"$12,672",2.00%,0.30%,3.00%,0.80%,$900,$100,60
354,"$14,758",75%,"$11,069",100%,99,999,"$14,758",2.00%,0.30%,3.00%,0.80%,$900,$100,33
355,"$82,213",75%,"$61,659",100%,99,999,"$82,213",2.00%,0.30%,3.00%,0.80%,$900,$100,80
356,"$85,844",75%,"$64,383",100%,99,999,"$85,844",2.00%,0.30%,3.00%,0.80%,$900,$100,20
357,"$78,232",75%,"$58,674",100%,99,999,"$78,232",2.00%,0.30%,3.00%,0.80%,$900,$100,59
358,"$17,042",75%,"$12,782",100%,99,999,"$17,042",2.00%,0.30%,3.00%,0.80%,$900,$100,78
359,"$43,389",75%,"$32,542",100%,99,999,"$43,389",2.00%,0.30%,3.00%,0.80%,$900,$100,70
360,"$61,827",75%,"$46,370",100%,99,999,"$61,827",2.00%,0.30%,3.00%,0.80%,$900,$100,82
361,"$73,548",75%,"$55,161",100%,99,999,"$73,548",2.00%,0.30%,3.00%,0.80%,$900,$100,28
362,"$64,482",75%,"$48,362",100%,99,999,"$64,482",2.00%,0.30%,3.00%,0.80%,$900,$100,61
363,"$64,300",75%,"$48,225",100%,99,999,"$64,300",2.00%,0.30%,3.00%,0.80%,$900,$100,52
364,"$50,023",75%,"$37,517",100%,99,999,"$50,023",2.00%,0.30%,3.00%,0.80%,$900,$100,94
365,"$50,743",75%,"$38,057",100%,99,999,"$50,743",2.00%,0.30%,3.00%,0.80%,$900,$100,79
366,"$84,500",75%,"$63,375",100%,99,999,"$84,500",2.00%,0.30%,3.00%,0.80%,$900,$100,56
367,"$92,064",75%,"$69,048",100%,99,999,"$92,064",2.00%,0.30%,3.00%,0.80%,$900,$100,78
368,"$38,617",75%,"$28,963",100%,99,999,"$38,617",2.00%,0.30%,3.00%,0.80%,$900,$100,58
369,"$74,121",75%,"$55,590",100%,99,999,"$74,121",2.00%,0.30%,3.00%,0.80%,$900,$100,3
370,"$74,954",75%,"$56,216",100%,99,999,"$74,954",2.00%,0.30%,3.00%,0.80%,$900,$100,88
371,"$63,202",75%,"$47,402",100%,99,999,"$63,202",2.00%,0.30%,3.00%,0.80%,$900,$100,13
372,"$69,891",75%,"$52,418",100%,99,999,"$69,891",2.00%,0.30%,3.00%,0.80%,$900,$100,63
373,"$1,160",75%,$870,100%,99,999,"$1,160",2.00%,0.30%,3.00%,0.80%,$900,$100,93
374,"$25,034",75%,"$18,776",100%,99,999,"$25,034",2.00%,0.30%,3.00%,0.80%,$900,$100,6
375,"$78,498",75%,"$58,874",100%,99,999,"$78,498",2.00%,0.30%,3.00%,0.80%,$900,$100,36
376,"$89,533",75%,"$67,150",100%,99,999,"$89,533",2.00%,0.30%,3.00%,0.80%,$900,$100,75
377,"$22,297",75%,"$16,723",100%,99,999,"$22,297",2.00%,0.30%,3.00%,0.80%,$900,$100,31
378,"$46,735",75%,"$35,052",100%,99,999,"$46,735",2.00%,0.30%,3.00%,0.80%,$900,$100,99
379,"$28,904",75%,"$21,678",100%,99,999,"$28,904",2.00%,0.30%,3.00%,0.80%,$900,$100,98
380,"$82,018",75%,"$61,514",100%,99,999,"$82,018",2.00%,0.30%,3.00%,0.80%,$900,$100,80
381,"$75,252",75%,"$56,439",100%,99,999,"$75,252",2.00%,0.30%,3.00%,0.80%,$900,$100,55
382,"$31,831",75%,"$23,873",100%,99,999,"$31,831",2.00%,0.30%,3.00%,0.80%,$900,$100,25
383,"$37,921",75%,"$28,441",100%,99,999,"$37,921",2.00%,0.30%,3.00%,0.80%,$900,$100,57
384,"$40,232",75%,"$30,174",100%,99,999,"$40,232",2.00%,0.30%,3.00%,0.80%,$900,$100,43
385,"$6,205",75%,"$4,654",100%,99,999,"$6,205",2.00%,0.30%,3.00%,0.80%,$900,$100,36
386,"$87,626",75%,"$65,720",100%,99,999,"$87,626",2.00%,0.30%,3.00%,0.80%,$900,$100,91
387,"$95,541",75%,"$71,656",100%,99,999,"$95,541",2.00%,0.30%,3.00%,0.80%,$900,$100,10
388,$43,75%,$32,100%,99,999,$43,2.00%,0.30%,3.00%,0.80%,$900,$100,54
389,"$35,358",75%,"$26,518",100%,99,999,"$35,358",2.00%,0.30%,3.00%,0.80%,$900,$100,20
390,"$54,003",75%,"$40,502",100%,99,999,"$54,003",2.00%,0.30%,3.00%,0.80%,$900,$100,49
391,"$83,558",75%,"$62,668",100%,99,999,"$83,558",2.00%,0.30%,3.00%,0.80%,$900,$100,38
392,"$32,278",75%,"$24,209",100%,99,999,"$32,278",2.00%,0.30%,3.00%,0.80%,$900,$100,62
393,"$50,469",75%,"$37,851",100%,99,999,"$50,469",2.00%,0.30%,3.00%,0.80%,$900,$100,78
394,"$19,654",75%,"$14,741",100%,99,999,"$19,654",2.00%,0.30%,3.00%,0.80%,$900,$100,62
395,"$56,425",75%,"$42,319",100%,99,999,"$56,425",2.00%,0.30%,3.00%,0.80%,$900,$100,55
396,"$40,546",75%,"$30,410",100%,99,999,"$40,546",2.00%,0.30%,3.00%,0.80%,$900,$100,59
397,"$50,125",75%,"$37,594",100%,99,999,"$50,125",2.00%,0.30%,3.00%,0.80%,$900,$100,51
398,"$84,981",75%,"$63,736",100%,99,999,"$84,981",2.00%,0.30%,3.00%,0.80%,$900,$100,31
399,"$16,984",75%,"$12,738",100%,99,999,"$16,984",2.00%,0.30%,3.00%,0.80%,$900,$100,8
400,"$82,674",75%,"$62,005",100%,99,999,"$82,674",2.00%,0.30%,3.00%,0.80%,$900,$100,74
